Epoch [26/50] Step 100 | Loss W: 0.0950 | Loss A: 0.6318
Epoch [26/50] Step 200 | Loss W: 0.0368 | Loss A: 0.6232
Epoch [26/50] Step 300 | Loss W: 0.1309 | Loss A: 0.6749
Epoch [26/50] Step 400 | Loss W: 0.0300 | Loss A: 0.9434
Epoch [26/50] Step 500 | Loss W: 0.1369 | Loss A: 0.3384
Epoch [26/50] Step 600 | Loss W: 0.1706 | Loss A: 0.7859
Epoch [26/50] Step 700 | Loss W: 0.1414 | Loss A: 0.5938
Epoch [27/50] Step 0 | Loss W: 0.0178 | Loss A: 0.8851
Epoch [27/50] Step 100 | Loss W: 0.0460 | Loss A: 0.6607
Epoch [27/50] Step 200 | Loss W: 0.0724 | Loss A: 0.6068
Epoch [27/50] Step 300 | Loss W: 0.1025 | Loss A: 0.6358
Epoch [27/50] Step 400 | Loss W: 0.0783 | Loss A: 0.4624
Epoch [27/50] Step 500 | Loss W: 0.1674 | Loss A: 0.4912
Epoch [27/50] Step 600 | Loss W: 0.1029 | Loss A: 0.4279
Epoch [27/50] Step 700 | Loss W: 0.0585 | Loss A: 0.1589
Epoch [28/50] Step 0 | Loss W: 0.0710 | Loss A: 0.3905
Epoch [28/50] Step 100 | Loss W: 0.1493 | Loss A: 0.4836
Epoch [28/50] Step 200 | Loss W: 0.0526 | Loss A: 0.7454
Epoch [28/50] Step 300 | Loss W: 0.0388 | Loss A: 0.7342
Epoch [28/50] Step 400 | Loss W: 0.0533 | Loss A: 0.3492
Epoch [28/50] Step 500 | Loss W: 0.0650 | Loss A: 0.3545
Epoch [28/50] Step 600 | Loss W: 0.0515 | Loss A: 0.6693
Epoch [28/50] Step 700 | Loss W: 0.1026 | Loss A: 0.4243
Epoch [29/50] Step 0 | Loss W: 0.1431 | Loss A: 0.9733
Epoch [29/50] Step 100 | Loss W: 0.2028 | Loss A: 0.8492
Epoch [29/50] Step 200 | Loss W: 0.0529 | Loss A: 0.5327
Epoch [29/50] Step 300 | Loss W: 0.1407 | Loss A: 0.8195
Epoch [29/50] Step 400 | Loss W: 0.0821 | Loss A: 0.6639
Epoch [29/50] Step 500 | Loss W: 0.0630 | Loss A: 0.2925
Epoch [29/50] Step 600 | Loss W: 0.0733 | Loss A: 0.2458
Epoch [29/50] Step 700 | Loss W: 0.1391 | Loss A: 1.0182
Epoch [30/50] Step 0 | Loss W: 0.2001 | Loss A: 0.7361
Epoch [30/50] Step 100 | Loss W: 0.1249 | Loss A: 0.7534
Epoch [30/50] Step 200 | Loss W: 0.0363 | Loss A: 0.3275
Epoch [30/50] Step 300 | Loss W: 0.0634 | Loss A: 0.3595
Epoch [30/50] Step 400 | Loss W: 0.0821 | Loss A: 0.3784
Epoch [30/50] Step 500 | Loss W: 0.0667 | Loss A: 0.6971
Epoch [30/50] Step 600 | Loss W: 0.0987 | Loss A: 0.4155
Epoch [30/50] Step 700 | Loss W: 0.0743 | Loss A: 1.0863
Epoch [31/50] Step 0 | Loss W: 0.0565 | Loss A: 0.6064
Epoch [31/50] Step 100 | Loss W: 0.0588 | Loss A: 0.2472
Epoch [31/50] Step 200 | Loss W: 0.0395 | Loss A: 0.3787
Epoch [31/50] Step 300 | Loss W: 0.1826 | Loss A: 0.2990
Epoch [31/50] Step 400 | Loss W: 0.1556 | Loss A: 0.3741
Epoch [31/50] Step 500 | Loss W: 0.0914 | Loss A: 0.2675
Epoch [31/50] Step 600 | Loss W: 0.1618 | Loss A: 0.1677
Epoch [31/50] Step 700 | Loss W: 0.3432 | Loss A: 0.6629
Epoch [32/50] Step 0 | Loss W: 0.0948 | Loss A: 1.1534
Epoch [32/50] Step 100 | Loss W: 0.0614 | Loss A: 0.0910
Epoch [32/50] Step 200 | Loss W: 0.1175 | Loss A: 0.5275
Epoch [32/50] Step 300 | Loss W: 0.0669 | Loss A: 0.4768
Epoch [32/50] Step 400 | Loss W: 0.0922 | Loss A: 0.6475
Epoch [32/50] Step 500 | Loss W: 0.0974 | Loss A: 0.7229
Epoch [32/50] Step 600 | Loss W: 0.1007 | Loss A: 0.3304
Epoch [32/50] Step 700 | Loss W: 0.1873 | Loss A: 0.4729
Epoch [33/50] Step 0 | Loss W: 0.1561 | Loss A: 0.5234
Epoch [33/50] Step 100 | Loss W: 0.2145 | Loss A: 0.5184
Epoch [33/50] Step 200 | Loss W: 0.1303 | Loss A: 0.4401
Epoch [33/50] Step 300 | Loss W: 0.0886 | Loss A: 0.6871
Epoch [33/50] Step 400 | Loss W: 0.0770 | Loss A: 0.7405
Epoch [33/50] Step 500 | Loss W: 0.0593 | Loss A: 0.5168
Epoch [33/50] Step 600 | Loss W: 0.2260 | Loss A: 0.4190
Epoch [33/50] Step 700 | Loss W: 0.0935 | Loss A: 0.2281
