Time records (guesses, time):
Guesses: 7371464, Time: 0.26648 seconds
Guesses: 7371496, Time: 0.26671 seconds
Guesses: 7381270, Time: 0.267106 seconds
Guesses: 7481420, Time: 0.26917 seconds
Guesses: 8535769, Time: 0.271329 seconds
Guesses: 7500968, Time: 0.271721 seconds
Guesses: 7510742, Time: 0.272117 seconds
Guesses: 7510774, Time: 0.272349 seconds
Guesses: 7510806, Time: 0.272563 seconds
Guesses: 7510838, Time: 0.27278 seconds
Guesses: 7520612, Time: 0.273186 seconds
Guesses: 7520644, Time: 0.273395 seconds
Guesses: 7620794, Time: 0.275456 seconds
Guesses: 7720944, Time: 0.277521 seconds
Guesses: 7721944, Time: 0.277773 seconds
Guesses: 7822094, Time: 0.279849 seconds
Guesses: 7822126, Time: 0.280086 seconds
Guesses: 7822158, Time: 0.280325 seconds
Guesses: 7822190, Time: 0.280542 seconds
Guesses: 7823190, Time: 0.280773 seconds
Guesses: 7823222, Time: 0.280989 seconds
Guesses: 7824222, Time: 0.281243 seconds
Guesses: 7924372, Time: 0.283313 seconds
Guesses: 8068499, Time: 0.286041 seconds
Guesses: 8078273, Time: 0.286492 seconds
Guesses: 8080363, Time: 0.28674 seconds
Guesses: 8180513, Time: 0.288798 seconds
Guesses: 8182603, Time: 0.289066 seconds
Guesses: 8182635, Time: 0.289303 seconds
Guesses: 8282785, Time: 0.291387 seconds
Guesses: 8382935, Time: 0.293456 seconds
Guesses: 8483085, Time: 0.295574 seconds
Guesses: 9628877, Time: 0.300003 seconds
Guesses: 8698075, Time: 0.301517 seconds
Guesses: 8707849, Time: 0.301908 seconds
Guesses: 8807999, Time: 0.303987 seconds
Guesses: 8846136, Time: 0.304915 seconds
Guesses: 8846168, Time: 0.305125 seconds
Guesses: 8946318, Time: 0.307192 seconds
Guesses: 8946350, Time: 0.307445 seconds
Guesses: 8946382, Time: 0.307655 seconds
Guesses: 8956156, Time: 0.308047 seconds
Guesses: 8956256, Time: 0.308285 seconds
Guesses: 8994393, Time: 0.309205 seconds
Guesses: 8994425, Time: 0.309438 seconds
Guesses: 9139387, Time: 0.31217 seconds
Guesses: 9139419, Time: 0.312418 seconds
Guesses: 9239569, Time: 0.314475 seconds
Guesses: 9239669, Time: 0.314705 seconds
Guesses: 9383796, Time: 0.317442 seconds
Guesses: 9383828, Time: 0.317676 seconds
Guesses: 9383860, Time: 0.317885 seconds
Guesses: 9528822, Time: 0.320717 seconds
Guesses: 10745244, Time: 0.325706 seconds
Guesses: 9709281, Time: 0.326134 seconds
Guesses: 9853408, Time: 0.328821 seconds
Guesses: 9863182, Time: 0.329239 seconds
Guesses: 9863214, Time: 0.329454 seconds
Guesses: 9934077, Time: 0.331056 seconds
Guesses: 9936167, Time: 0.331336 seconds
Guesses: 10106852, Time: 0.334582 seconds
Guesses: 10106904, Time: 0.33481 seconds
Guesses: 10107004, Time: 0.335021 seconds
Guesses: 10145141, Time: 0.335953 seconds
Guesses: 10245291, Time: 0.337999 seconds
Guesses: 10245391, Time: 0.338257 seconds
Guesses: 10345541, Time: 0.340311 seconds
Guesses: 10345573, Time: 0.340534 seconds
Guesses: 10345673, Time: 0.340745 seconds
Guesses: 10345705, Time: 0.340957 seconds
Guesses: 10345805, Time: 0.341191 seconds
Guesses: 10416668, Time: 0.342667 seconds
Guesses: 10416700, Time: 0.34288 seconds
Guesses: 10426474, Time: 0.343293 seconds
Guesses: 10526624, Time: 0.34533 seconds
Guesses: 10528714, Time: 0.3456 seconds
Guesses: 10628864, Time: 0.347668 seconds
Guesses: 11799769, Time: 0.351203 seconds
Guesses: 10709501, Time: 0.351659 seconds
Guesses: 10709553, Time: 0.351873 seconds
Guesses: 10747690, Time: 0.352824 seconds
Guesses: 10847840, Time: 0.354904 seconds
Guesses: 10847940, Time: 0.355129 seconds
Guesses: 10857714, Time: 0.355517 seconds
Guesses: 10857814, Time: 0.355781 seconds
Guesses: 10928677, Time: 0.357249 seconds
Guesses: 10930767, Time: 0.357497 seconds
Guesses: 11030917, Time: 0.359539 seconds
Guesses: 11175879, Time: 0.362379 seconds
Guesses: 11246742, Time: 0.363778 seconds
Guesses: 11248832, Time: 0.364035 seconds
Guesses: 11348982, Time: 0.366085 seconds
Guesses: 11351072, Time: 0.366357 seconds
Guesses: 11351172, Time: 0.366574 seconds
Guesses: 11521857, Time: 0.369756 seconds
Guesses: 11523947, Time: 0.370027 seconds
Guesses: 11524047, Time: 0.370237 seconds
Guesses: 11624197, Time: 0.372308 seconds
Guesses: 11633971, Time: 0.372736 seconds
Guesses: 11636061, Time: 0.372989 seconds
Guesses: 11674198, Time: 0.373934 seconds
Guesses: 11674298, Time: 0.374152 seconds
Guesses: 11774448, Time: 0.376269 seconds
Guesses: 12958169, Time: 0.379185 seconds
Guesses: 11822359, Time: 0.379599 seconds
Guesses: 11860496, Time: 0.380552 seconds
Guesses: 11960646, Time: 0.382621 seconds
Guesses: 11970420, Time: 0.383043 seconds
Guesses: 11970472, Time: 0.383257 seconds
Guesses: 12115434, Time: 0.386036 seconds
Guesses: 12125208, Time: 0.386468 seconds
Guesses: 12163345, Time: 0.387363 seconds
Guesses: 12165435, Time: 0.387637 seconds
Guesses: 12336120, Time: 0.390909 seconds
Guesses: 12336220, Time: 0.39115 seconds
Guesses: 12336272, Time: 0.391368 seconds
Guesses: 12338362, Time: 0.391634 seconds
Guesses: 12338414, Time: 0.391849 seconds
Guesses: 12348188, Time: 0.392233 seconds
Guesses: 12350278, Time: 0.392499 seconds
Guesses: 12360052, Time: 0.392894 seconds
Guesses: 12362142, Time: 0.393147 seconds
Guesses: 12371916, Time: 0.393575 seconds
Guesses: 12381690, Time: 0.393968 seconds
Guesses: 12381790, Time: 0.39418 seconds
Guesses: 12526752, Time: 0.396932 seconds
Guesses: 12536526, Time: 0.397339 seconds
Guesses: 12536626, Time: 0.397598 seconds
Guesses: 12546400, Time: 0.397989 seconds
Guesses: 12717085, Time: 0.40118 seconds
Guesses: 12717185, Time: 0.401451 seconds
Guesses: 12862147, Time: 0.404228 seconds
Guesses: 13959620, Time: 0.406612 seconds
Guesses: 12874899, Time: 0.406819 seconds
Guesses: 12874909, Time: 0.407039 seconds
Guesses: 12875909, Time: 0.407278 seconds
Guesses: 12876909, Time: 0.407515 seconds
Guesses: 12877909, Time: 0.407772 seconds
Guesses: 12878909, Time: 0.408005 seconds
Guesses: 12878919, Time: 0.408213 seconds
Guesses: 12879019, Time: 0.408425 seconds
Guesses: 12879119, Time: 0.408658 seconds
Guesses: 12879129, Time: 0.408866 seconds
Guesses: 12879229, Time: 0.409083 seconds
Guesses: 12879239, Time: 0.409292 seconds
Guesses: 12880239, Time: 0.409524 seconds
Guesses: 12881239, Time: 0.409767 seconds
Guesses: 12881249, Time: 0.409976 seconds
Guesses: 12882249, Time: 0.410211 seconds
Guesses: 12882259, Time: 0.410424 seconds
Guesses: 12882359, Time: 0.41067 seconds
Guesses: 12883359, Time: 0.410903 seconds
